No,ID,Name,Birth,Sex,Idsocial
1,21120001,Nguyen Huu Khai Duy,06/06/2003,Nam,9733604
2,21120002,Dam Huy Giau,23/09/2003,Nam,9734643
3,21120003,Tang Nhat Hao,05/03/2003,Nu,3439917
4,21120004,Nguyen Dieu Linh,23/06/2003,Nam,8147434
5,21120005,Ngo Hong Phi Loan,12/02/2003,Nam,4697269
6,21120006,Nguyen Ho Nam,07/09/2003,Nu,1089851
7,21120007,Phan Nguyen Hoai Nam,06/08/2003,Nam,7583033
8,21120008,Bo Khanh Ngoc,11/08/2003,Nam,2610091
9,21120009,Nguyen Ba Thao Nguyen,27/11/2003,Nu,2663100
10,21120010,Nguyen Nhat Yen Phuong,19/01/2003,Nam,8728294
11,21120011,Tran Nguyen Tan,29/09/2003,Nam,7720238
12,21120012,Nguyen Hoang Phuc Tien,14/11/2003,Nu,2628907
13,21120013,Nguyen Le Phuong Trang,11/04/2003,Nam,5344463
14,21120014,Pham Thi Kim Thanh,15/01/2003,Nam,6274703
15,21120015,Pham Thi Bich Van,29/01/2003,Nu,4251249
16,21120016,Ly Xuan Anh,08/08/2003,Nam,6577639
17,21120017,Ngo Thi Kim Anh,07/07/2003,Nam,9788767
18,21120018,Ngo Thi Phuong Anh,22/09/2003,Nu,3352222
19,21120019,Nguyen Minh Tram Anh,11/03/2003,Nam,8591882
20,21120020,Pham My Anh,15/12/2003,Nam,6021680
21,21120021,Tran Thi Minh Anh,10/02/2003,Nu,6570367
22,21120022,Tran Ngoc Bac,06/04/2003,Nam,8647419
23,21120023,Vu Van Cang,19/01/2003,Nam,5607566
24,21120024,Doan Le Bao Chau,27/03/2003,Nu,6058715
25,21120025,Ha Vinh Kim Chau,11/08/2003,Nam,1579413
26,21120026,Doan Ngoc Uyen Chi,28/10/2003,Nam,2273272
27,21120027,Nguyen Ngoc Phuong Chi,26/05/2003,Nu,5617746
28,21120028,Phan Huu Chuc,03/12/2003,Nam,4325448
29,21120029,Nguyen Duy Anh Chuong,11/03/2003,Nam,2378495
30,21120030,Dang Quoc Cuong,12/11/2003,Nu,9983282
