STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,21120033,A Thai,21CTT2,4,4,6,4.2
2,21120034,Cao Hung,21CTT2,4,7,10,6.4
3,21120035,Cao Thai,21CTT2,6,5,4,5.2
4,21120036,Cortana,21CTT2,7,8,4,7.3
5,21120037,Co Vo ,21CTT2,5,6,6,5.7
6,21120038,Truong A,21CTT2,6,4,4,4.6
7,21120039,Eo Thi Xa,21CTT2,9,7,8,7.7
8,21120040,Hua Vo Thien,21CTT2,6,6,7,6.1
9,21120041,Han Lap,21CTT2,6,6,10,6.4
10,21120042,Huy Hoang,21CTT2,4,5,7,4.9
11,21120043,Ghe Sa,21CTT2,6,4,9,5.1
12,21120044,Khuong An An,21CTT2,10,6,9,7.5
13,21120045,Khuong Vong,21CTT2,8,4,10,5.8
14,21120046,Lam Bao Ngoc,21CTT2,4,4,10,4.6
15,21120047,Lam Van Thien,21CTT2,9,5,10,6.7
16,21120048,Long Tuoc,21CTT2,4,10,6,7.8
17,21120049,Luc Tram,21CTT2,5,4,5,4.4
18,21120050,Mieu A Cau,21CTT2,6,4,7,4.9
19,21120051,Nga Tam,21CTT2,7,6,6,6.3
20,21120052,Ngo Th?a An,21CTT2,7,10,7,8.8
21,21120053,Nguyen Hoa,21CTT2,7,6,8,6.5
22,21120054,Nguyen Thi A,21CTT2,6,8,6,7.2
23,21120055,Thien Sinh,21CTT2,9,8,5,8
24,21120056,Tran Binh An,21CTT2,5,5,8,5.3
25,21120057,Tran Vong Tinh,21CTT2,10,8,4,8.2
26,21120058,Truong Tieu Pham,21CTT2,6,8,6,7.2
27,21120059,Vuong Chi Hao,21CTT2,10,10,10,10
28,21120060,Vuong Thong Thien,21CTT2,7,5,5,5.6
29,21120061,Vuong Vong Thien,21CTT2,9,7,6,7.5
30,21120062,Vuong Trieu,21CTT2,7,10,4,8.5
31,21170001,Thien Nhan,21HOH1,4,4,9,4.5
32,21170002,Ha Nhan,21HOH1,9,7,5,7.4
33,21170003,Nga Tai,21HOH1,6,10,6,8.4
34,21170004,Ton Thu,21HOH1,8,10,6,9
35,21170005,Thanh Nhan,21HOH1,5,4,10,4.9
36,21170006,Ton Linh,21HOH1,10,9,10,9.4
37,21170007,Nguyen Khang,21HOH1,7,8,5,7.4
38,21170008,Khanh Dien,21HOH1,7,9,8,8.3
39,21170009,Tau Ran,21HOH1,6,7,10,7
40,21170010,Thien Nguyen,21HOH1,6,4,8,5
41,21170011,Thong Sanh,21HOH1,5,5,10,5.5
42,21170012,Sinh Nhut,21HOH1,9,4,10,6.1
43,21170013,Khang Khang,21HOH1,4,6,7,5.5
44,21170014,Huy ha,21HOH1,9,9,4,8.5
45,21170015,Hung Phuc,21HOH1,10,6,5,7.1
46,21170016,le Cao,21HOH1,7,7,6,6.9
47,21170017,Le Hoang,21HOH1,6,5,10,5.8
48,21170018,Ling Trong,21HOH1,5,5,4,4.9
49,21170019,Sa Thi Man,21HOH1,9,7,8,7.7
50,21170020,Xuat Son,21HOH1,6,8,4,7
51,21170021,But Linh,21HOH1,5,8,4,6.7
52,21170022,Quy Khu,21HOH1,4,10,10,8.2
53,21170023,Khap Huyet,21HOH1,6,5,4,5.2
54,21170024,Van May,21HOH1,9,4,8,5.9
55,21170025,Ta Truc,21HOH1,4,6,4,5.2
56,21170026,Han Thien,21HOH1,7,6,9,6.6
57,21170027,Sa Tuoc,21HOH1,5,10,10,8.5
58,21170028,Khiem Phuc,21HOH1,6,5,4,5.2
59,21170029,Khoi Thu,21HOH1,7,4,10,5.5
60,21170030,Van Da,21HOH1,5,10,5,8
61,21150020,Nguyen Tien Dat,21SHH1,10,10,10,10
62,21150022,Tran Nguyen Thanh Dat,21SHH1,8,4,7,5.5
63,21150024,Tran Nguyen Minh Dong,21SHH1,7,7,6,6.9
64,21150026,Ho Thi Kim Dung,21SHH1,10,7,5,7.7
65,21150028,Le Thi Thuy Duong,21SHH1,9,6,4,6.7
66,21150030,Mai Quoc Duy,21SHH1,4,5,4,4.6
67,21150032,Nguyen Thi Hong Gam,21SHH1,10,4,4,5.8
68,21150034,Nguyen Quynh Giang,21SHH1,7,8,6,7.5
69,21150036,Nguyen Thi Thu Ha,21SHH1,5,6,5,5.6
70,21150038,Tran My Han,21SHH1,5,6,7,5.8
71,21150040,Le Ngoc Thanh Hien,21SHH1,7,7,10,7.3
72,21150042,Le Viet Hien,21SHH1,10,4,10,6.4
73,21150044,Vo Minh Hieu,21SHH1,8,10,6,9
74,21150046,Phan My Hue,21SHH1,10,10,10,10
75,21150048,Nguyen Thi Kim Huong,21SHH1,7,5,5,5.6
76,21150050,Nguyen Le Hoang Huy,21SHH1,9,7,6,7.5
77,21150052,Tang Giac Huy,21SHH1,7,10,4,8.5
78,21150054,Dao Thi Huyen,21SHH1,4,4,9,4.5
79,21150056,Huynh Tan Thanh Kha,21SHH1,9,7,5,7.4
80,21150058,Tran Van Khai,21SHH1,6,10,6,8.4
81,21150060,Truong Vi Khang,21SHH1,8,10,6,9
82,21150062,Dang Dang Khoa,21SHH1,5,4,10,4.9
83,21150064,Nguyen Tran Nhac Khoa,21SHH1,10,9,10,9.4
84,21150066,Ho Le Minh Khue,21SHH1,7,8,5,7.4
85,21150068,Pham Thi Thuy Kieu,21SHH1,7,9,8,8.3
86,21150070,Pham Tran Thien Kim,21SHH1,6,7,10,7
87,21150072,Le Vinh Lam,21SHH1,6,4,8,5
88,21150074,Nguy Ngoc Hoang Lan,21SHH1,5,5,10,5.5
89,21150076,Dang Thi Yen Linh,21SHH1,9,4,10,6.1
90,21150078,Nguyen Doan Nhu Linh,21SHH1,4,6,7,5.5
91,21110001,Nguyen Hoang Gia Linh,21TTH1,9,9,4,8.5
92,21110004,Nguyen Thi Truc Linh,21TTH1,10,6,5,7.1
93,21110007,Tran Quang Linh,21TTH1,7,7,6,6.9
94,21110010,Nguyen Huu Loc,21TTH1,6,5,10,5.8
95,21110013,Nguyen Cam Ly,21TTH1,5,5,4,4.9
96,21110016,Nguyen Quang Minh,21TTH1,9,7,8,7.7
97,21110019,Ta Duong Anh Minh,21TTH1,6,8,4,7
98,21110022,Ngo Quynh My,21TTH1,5,8,4,6.7
99,21110025,Nguyen Mai Nhat My,21TTH1,4,10,10,8.2
100,21110028,Tran Thi Truc My,21TTH1,6,5,4,5.2
101,21110031,Dang Hoang Nam,21TTH1,9,4,8,5.9
102,21110034,Ly Kim Ngan,21TTH1,4,6,4,5.2
103,21110037,Nguyen Huynh Kim Ngan,21TTH1,7,6,9,6.6
104,21110040,Tran Vu Kim Ngan,21TTH1,10,10,4,9.4
105,21110043,Luong Ngoc Nghi,21TTH1,10,4,4,5.8
106,21110046,Nguyen Phuong Nghi,21TTH1,6,6,5,5.9
107,21110049,Tran Phuong Nghi,21TTH1,8,9,7,8.5
108,21110052,Truong Tu Nghi,21TTH1,10,8,7,8.5
109,21110055,Tran Le Thanh Ngoc,21TTH1,6,9,9,8.1
110,21110058,Do Ngoc Phuong Nhi,21TTH1,7,4,5,5
111,21110061,Nguyen Ngoc Nhu,21TTH1,9,8,6,8.1
112,21110064,Tran Quynh Nhu,21TTH1,9,5,6,6.3
113,21110067,Van Cam Nhung,21TTH1,9,7,6,7.5
114,21110070,Ha Hoang Oanh,21TTH1,6,9,5,7.7
115,21110073,Bui Tan Phat,21TTH1,9,10,10,9.7
116,21110076,Nguyen Tan Phat,21TTH1,10,8,9,8.7
117,21110079,Quach Hong Phat,21TTH1,9,8,5,8
118,21110082,Huynh Yen Phi,21TTH1,8,7,10,7.6
119,21110085,Nguyen Dinh Phi,21TTH1,6,4,6,4.8
120,21110088,Lam Dinh Gia Phu,21TTH1,4,10,4,7.6
