No,ID,Name,Birth,Sex,Idsocial
1,20171717,Le Hoai Anh,03/11/2002,Nam,1161796
2,20171718,Le Quynh Anh,21/11/2002,Nu,8516076
3,20171719,Hoang Chi Vo,14/11/2002,Nam,2234374
4,20171720,Nguyen Gia Bao,25/12/2002,Nu,9132591
5,20171721,Nguyen Kim ,11/11/2002,Nam,3995001
6,20171722,Nguyen Anh Bao,16/12/2002,Nu,3894545
7,20171723,Tran Hoang Anh Khoa,25/11/2002,Nam,3403926
8,20171724,Tran Hoang Khoi,09/11/2002,Nu,5917082
9,20171725,Du Quang Luc,10/12/2002,Nam,8820653
10,20171726,Nguyen Hung Luc,03/11/2002,Nu,7279209
11,20171727,Nguyen Huu Minh,28/11/2002,Nam,6331292
12,20171728,Nguyen Truong Thang,09/12/2002,Nu,1194103
13,20171729,Dieu Ngoc,15/12/2002,Nam,4752717
14,20171730,Truong Tieu Thanh,06/12/2002,Nu,1119635
15,20171731,Duong Ngoc Phong,23/12/2002,Nam,3770622
16,20171732,To Tran Thien Phuc,01/11/2002,Nu,2289557
17,20171733,Nguy Anh Quan,22/12/2002,Nam,7937147
18,20171734,Vo Thanh Thien,29/11/2002,Nu,8911482
19,20171735,Nguyen Huynh Tram,13/12/2002,Nam,7317493
20,20171736,Le Hoang Thien Y,10/11/2002,Nu,2211834
21,20171737,Ly Tinh,08/11/2002,Nam,7223851
22,20171738,Le Loc,01/12/2002,Nu,8958140
23,20171739,Gigolo,08/12/2002,Nam,9988260
24,20171740,Tyrant,02/12/2002,Nu,1083759
25,20171741,Racist,08/11/2002,Nam,2531719
26,20171742,Brotherhood,03/12/2002,Nu,7735558
27,20171743,Robinhood,20/12/2002,Nam,9842303
28,20171744,Captain Kirt,05/12/2002,Nu,9342434
29,20171745,Di Van,27/12/2002,Nam,1683607
30,20171746,Do Day,14/12/2002,Nu,3919517
