ID,Name,Birth,Sex,Idsocial
21120033,A Thai,17/10/2003,Nam,7119511
21120034,Cao Hung,13/05/2003,Nam,6672022
21120035,Cao Thai,06/02/2003,Nam,1911510
21120036,Cortana,03/12/2003,Nu,7429264
21120037,Co Vo ,14/03/2003,Nam,9528939
21120038,Truong A,14/07/2003,Nam,3764660
21120039,Eo Thi Xa,15/11/2003,Nu,5831398
21120040,Hua Vo Thien,21/09/2003,Nam,4926784
21120041,Han Lap,15/03/2003,Nam,5544095
21120042,Huy Hoang,01/10/2003,Nam,3067031
21120043,Ghe Sa,13/03/2003,Nam,8755075
21120044,Khuong An An,28/07/2003,Nu,8662249
21120045,Khuong Vong,04/04/2003,Nam,3699330
21120046,Lam Bao Ngoc,06/03/2003,Nu,8803894
21120047,Lam Van Thien,04/06/2003,Nam,9582497
21120048,Long Tuoc,05/07/2003,Nam,5851633
21120049,Luc Tram,06/10/2003,Nam,4458620
21120050,Mieu A Cau,29/05/2003,Nam,9631535
21120051,Nga Tam,04/06/2003,Nam,9109761
21120052,Ngo Th?a An,26/05/2003,Nam,8269666
21120053,Nguyen Hoa,23/01/2003,Nam,1698302
21120054,Nguyen Thi A,07/04/2003,Nam,7425584
21120055,Thien Sinh,16/06/2003,Nam,5664489
21120056,Tran Binh An,14/03/2003,Nam,8397890
21120057,Tran Vong Tinh,30/12/2003,Nu,6530776
21120058,Truong Tieu Pham,21/12/2003,Nam,4748439
21120059,Vuong Chi Hao,05/05/2003,Nam,8745937
21120060,Vuong Thong Thien,25/12/2003,Nu,9371947
21120061,Vuong Vong Thien,15/06/2003,Nam,1083112
21120062,Vuong Trieu,05/09/2003,Nam,5755513
21170001,Thien Nhan,28/07/2003,Nam,3448721
21170002,Ha Nhan,14/09/2003,Nu ,1575595
21170003,Nga Tai,31/03/2003,Nam,5442340
21170004,Ton Thu,04/12/2003,Nam,9488543
21170005,Thanh Nhan,27/01/2003,Nam,1259558
21170006,Ton Linh,07/07/2003,Nu ,4707212
21170007,Nguyen Khang,02/01/2003,Nam,8356576
21170008,Khanh Dien,20/09/2003,Nam,2289427
21170009,Tau Ran,14/04/2003,Nam,9032890
21170010,Thien Nguyen,12/09/2003,Nu ,1242392
21170011,Thong Sanh,03/01/2003,Nam,4320507
21170012,Sinh Nhut,17/05/2003,Nam,9971980
21170013,Khang Khang,09/05/2003,Nam,7170643
21170014,Huy ha,15/10/2003,Nu ,6052401
21170015,Hung Phuc,05/09/2003,Nam,6720243
21170016,le Cao,18/05/2003,Nam,2373036
21170017,Le Hoang,27/09/2003,Nam,5708661
21170018,Ling Trong,27/12/2003,Nu ,9800289
21170019,Sa Thi Man,18/01/2003,Nam,3541151
21170020,Xuat Son,12/02/2003,Nam,2831333
21170021,But Linh,29/11/2003,Nam,3506861
21170022,Quy Khu,14/09/2003,Nu ,1875228
21170023,Khap Huyet,02/05/2003,Nam,9593298
21170024,Van May,24/06/2003,Nam,9904386
21170025,Ta Truc,24/03/2003,Nam,1380010
21170026,Han Thien,23/05/2003,Nu ,3696934
21170027,Sa Tuoc,29/12/2003,Nam,6888558
21170028,Khiem Phuc,25/07/2003,Nam,9112563
21170029,Khoi Thu,18/02/2003,Nam,7263460
21170030,Van Da,01/07/2003,Nu ,8173786
21150020,Nguyen Tien Dat,08/05/2003,Nam,5436315
21150022,Tran Nguyen Thanh Dat,21/05/2003,Nam,6583531
21150024,Tran Nguyen Minh Dong,05/11/2003,Nu,7892886
21150026,Ho Thi Kim Dung,23/09/2003,Nam,4200589
21150028,Le Thi Thuy Duong,04/01/2003,Nam,1880769
21150030,Mai Quoc Duy,14/10/2003,Nu,7128167
21150032,Nguyen Thi Hong Gam,23/07/2003,Nam,7609730
21150034,Nguyen Quynh Giang,23/05/2003,Nam,4662208
21150036,Nguyen Thi Thu Ha,06/12/2003,Nu,8649955
21150038,Tran My Han,12/03/2003,Nam,4240891
21150040,Le Ngoc Thanh Hien,30/08/2003,Nam,6325659
21150042,Le Viet Hien,01/06/2003,Nu,2897949
21150044,Vo Minh Hieu,28/09/2003,Nam,5000730
21150046,Phan My Hue,28/07/2003,Nam,1665888
21150048,Nguyen Thi Kim Huong,26/12/2003,Nu,3058472
21150050,Nguyen Le Hoang Huy,11/11/2003,Nam,6868950
21150052,Tang Giac Huy,23/08/2003,Nam,5794959
21150054,Dao Thi Huyen,25/10/2003,Nu,2694830
21150056,Huynh Tan Thanh Kha,05/10/2003,Nam,3310983
21150058,Tran Van Khai,04/09/2003,Nam,3561838
21150060,Truong Vi Khang,30/10/2003,Nu,3796985
21150062,Dang Dang Khoa,17/04/2003,Nam,5539753
21150064,Nguyen Tran Nhac Khoa,18/03/2003,Nam,3300942
21150066,Ho Le Minh Khue,24/12/2003,Nu,6412820
21150068,Pham Thi Thuy Kieu,01/01/2003,Nam,4706005
21150070,Pham Tran Thien Kim,06/02/2003,Nam,3878874
21150072,Le Vinh Lam,17/04/2003,Nu,6731505
21150074,Nguy Ngoc Hoang Lan,15/08/2003,Nam,1749892
21150076,Dang Thi Yen Linh,29/05/2003,Nam,6837692
21150078,Nguyen Doan Nhu Linh,30/06/2003,Nu,4504613
