ID,Name,Birth,Sex,Idsocial
22170020,Nguyen Thi Thuy Duong,01/05/2004,Nam,4409634
22170021,Phan Thi Ngoc Duyen,29/06/2004,Nam,8251799
22170022,Bui Ngoc Cam Giang,01/08/2004,Nu,6313984
22170023,Nguyen Huu Tuan Hiep,02/09/2004,Nam,8290972
22170024,Tran Thi Hoai My,08/02/2004,Nam,1913528
22170025,Dang Gia Huong,20/07/2004,Nu,5462502
22170026,Le Thai Phuong Khanh,22/08/2004,Nam,9810384
22170027,Phan Dang Khoi,31/05/2004,Nam,6252913
22170028,Nguyen Trong Khuong,07/03/2004,Nu,3516018
22170029,Do Thi Phuong Linh,05/02/2004,Nam,4750001
22170030,Le Hoang Minh,23/08/2004,Nam,7314371
22170031,Duong My Mui,25/12/2004,Nu,8229894
22170032,Ho Thi My My,27/03/2004,Nam,9788567
22170033,Nguyen Thi Thien Nga,13/07/2004,Nam,7673306
22170034,Lai Truc Phuong,29/11/2004,Nu,1955086
22170035,Le Nguyen Cuc Phuong,13/10/2004,Nam,3781196
22170036,Nguyen Thien Quang,17/07/2004,Nam,6666611
22170037,Tran Tu Quyen,18/09/2004,Nu,6173242
22170038,Nguyen Nhu Quynh,14/08/2004,Nam,5452463
22170039,Lam Thi Thu Thao,23/06/2004,Nam,8055699
22170040,Ho Ngoc Thao Tien,30/12/2004,Nu,6773088
22170041,Nguyen Huynh Thuy Tien,14/12/2004,Nam,2740475
22170042,Pham Thanh Toan,18/08/2004,Nam,2413356
22170043,Vo Hoai Nhu Truc,03/10/2004,Nu,2243065
22170044,Le Ngoc Minh Tuyen,17/04/2004,Nam,7670792
22170045,Truong Nhat Uyen,27/06/2004,Nam,7078102
22170046,Ngo Minh Chau,21/02/2004,Nu,7805730
22170047,Duong Tan Dat,20/08/2004,Nam,1345252
22170048,Tran Thi My Dieu,09/05/2004,Nam,5379104
22170049,Do Huy Du,14/04/2004,Nu,3877441
22150001,Pham Huy Truong Duc,16/05/2004,Nam,9171891
22150002,Vo Ho Thanh Duy,20/11/2004,Nam,2307147
22150003,Le Thi Thuy Giang,29/04/2004,Nu,3561181
22150004,Huynh Gia Han,05/07/2004,Nam,1237672
22150005,Nguyen Thi Ngoc Han,08/10/2004,Nam,1912271
22150006,Ngo Quoc Hieu,21/08/2004,Nu,9568514
22150007,Tran Minh Hoang,17/12/2004,Nam,5673076
22150008,Nguyen Thi My Hong,24/01/2004,Nam,2818979
22150009,Truong Nguyen Ngoc Hue,29/08/2004,Nu,4581835
22150010,Van Ngoc Khai,30/04/2004,Nam,4514975
22150011,Vo Phi Long,19/09/2004,Nam,9413243
22150012,Nguyen Viet Luan,15/04/2004,Nu,7760233
22150013,Khuu To Nga,11/12/2004,Nam,3404299
22150014,Nguyen Luu Bich Ngan,14/09/2004,Nam,8019733
22150015,Truong Thanh Ngan,05/11/2004,Nu,7178602
22150016,Vo Thanh Ngan,21/08/2004,Nam,3367349
22150017,Vo Thi Hong Nguyen,24/08/2004,Nam,7644918
22150018,Nguyen Quynh Nhu,30/11/2004,Nu,1004162
22150019,Phan Thi Hoang Oanh,07/05/2004,Nam,3375481
22150020,Bui Lieu Mai Phuong,16/04/2004,Nam,6643584
22150021,Pham Le Anh Quan,27/01/2004,Nu,7487098
22150022,Nguyen Ngoc Nhu Quynh,16/11/2004,Nam,2070463
22150023,Dinh Van Thanh,24/04/2004,Nam,3982751
22150024,Le Hoang Nhu Thao,28/05/2004,Nu,1451386
22150025,Nguyen Thi Phuong Thi,26/08/2004,Nam,8112057
22150026,Mai Huynh Chi Thong,25/10/2004,Nam,9445872
22150027,Dang Pham Anh Thu,06/10/2004,Nu,3698812
22150028,Ngo Thien Thu,21/03/2004,Nam,1896238
22150029,Nguyen Chi Hoa Thuan,05/04/2004,Nam,7036457
22150030,Cao Hoang Khanh Tran,03/01/2004,Nu,3928925
22110001,Nguyen Thi Thu Trang,10/11/2004,Nam,4863031
22110002,Le Tran Thanh Truc,03/07/2004,Nam,1132433
22110003,Bui Trinh Trung,24/09/2004,Nu,6435089
22110004,Tran Anh Tuan,25/02/2004,Nam,2176236
