STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,21120033,A Thai,21CTT2,9,7,6,7.5
2,21120034,Cao Hung,21CTT2,7,10,4,8.5
3,21120035,Cao Thai,21CTT2,4,4,9,4.5
4,21120036,Cortana,21CTT2,9,7,5,7.4
5,21120037,Co Vo ,21CTT2,6,10,6,8.4
6,21120038,Truong A,21CTT2,8,10,6,9
7,21120039,Eo Thi Xa,21CTT2,5,4,10,4.9
8,21120040,Hua Vo Thien,21CTT2,10,9,10,9.4
9,21120041,Han Lap,21CTT2,7,8,5,7.4
10,21120042,Huy Hoang,21CTT2,7,9,8,8.3
11,21120043,Ghe Sa,21CTT2,6,7,10,7
12,21120044,Khuong An An,21CTT2,6,4,8,5
13,21120045,Khuong Vong,21CTT2,5,5,10,5.5
14,21120046,Lam Bao Ngoc,21CTT2,9,4,10,6.1
15,21120047,Lam Van Thien,21CTT2,4,6,7,5.5
16,21120048,Long Tuoc,21CTT2,9,9,4,8.5
17,21120049,Luc Tram,21CTT2,10,6,5,7.1
18,21120050,Mieu A Cau,21CTT2,7,7,6,6.9
19,21120051,Nga Tam,21CTT2,6,5,10,5.8
20,21120052,Ngo Th?a An,21CTT2,5,5,4,4.9
21,21120053,Nguyen Hoa,21CTT2,9,7,8,7.7
22,21120054,Nguyen Thi A,21CTT2,6,8,4,7
23,21120055,Thien Sinh,21CTT2,5,8,4,6.7
24,21120056,Tran Binh An,21CTT2,4,10,10,8.2
25,21120057,Tran Vong Tinh,21CTT2,6,5,4,5.2
26,21120058,Truong Tieu Pham,21CTT2,9,4,8,5.9
27,21120059,Vuong Chi Hao,21CTT2,4,6,4,5.2
28,21120060,Vuong Thong Thien,21CTT2,7,6,9,6.6
29,21120061,Vuong Vong Thien,21CTT2,10,10,4,9.4
30,21120062,Vuong Trieu,21CTT2,10,4,4,5.8
31,21170001,Thien Nhan,21HOH1,6,6,5,5.9
32,21170002,Ha Nhan,21HOH1,8,9,7,8.5
33,21170003,Nga Tai,21HOH1,10,8,7,8.5
34,21170004,Ton Thu,21HOH1,6,9,9,8.1
35,21170005,Thanh Nhan,21HOH1,7,4,5,5
36,21170006,Ton Linh,21HOH1,9,8,6,8.1
37,21170007,Nguyen Khang,21HOH1,9,5,6,6.3
38,21170008,Khanh Dien,21HOH1,9,7,6,7.5
39,21170009,Tau Ran,21HOH1,6,9,5,7.7
40,21170010,Thien Nguyen,21HOH1,9,10,10,9.7
41,21170011,Thong Sanh,21HOH1,10,8,9,8.7
42,21170012,Sinh Nhut,21HOH1,9,8,5,8
43,21170013,Khang Khang,21HOH1,8,7,10,7.6
44,21170014,Huy ha,21HOH1,6,4,6,4.8
45,21170015,Hung Phuc,21HOH1,4,10,4,7.6
