No,ID,Name,Birth,Sex,Idsocial
1,22110001,Nguyen Thi Thu Trang,10/11/2004,Nam,4863031
2,22110002,Le Tran Thanh Truc,03/07/2004,Nam,1132433
3,22110003,Bui Trinh Trung,24/09/2004,Nu,6435089
4,22110004,Tran Anh Tuan,25/02/2004,Nam,2176236
5,22110005,Ho Ngoc Tuyen,22/07/2004,Nam,5046765
6,22110006,Nguyen Phuong Uyen,29/11/2004,Nu,3882790
7,22110007,Nguyen Vo Thao Vy,14/06/2004,Nam,3898013
8,22110008,Phan Tran Nhat Vy,10/04/2004,Nam,1030755
9,22110009,Nguyen Ngoc Xuyen,24/02/2004,Nu,3505346
10,22110010,Luu Huu Phuoc,19/05/2004,Nam,1982911
11,22110011,Le Quoc An,17/02/2004,Nam,5512644
12,22110012,Nguyen Tran Thien An,11/03/2004,Nu,8611497
13,22110013,Tran Vu Hong An,21/11/2004,Nam,2698915
14,22110014,Bui Thi Ngoc Anh,11/10/2004,Nam,6559168
15,22110015,Huynh Ngoc Que Anh,01/03/2004,Nu,3402810
16,22110016,Nguyen Phuc Tai Anh,26/03/2004,Nam,3101584
17,22110017,Nguyen Quynh Anh,10/04/2004,Nam,1493118
18,22110018,Pham Thi Duy Anh,02/01/2004,Nu,6894182
19,22110019,Pham Thi Phuong Anh,20/12/2004,Nam,2887511
20,22110020,Pham Thi Trang Anh,06/05/2004,Nam,5206453
21,22110021,Tran Do Van Anh,12/05/2004,Nu,1441073
22,22110022,Tran Thi Van Anh,03/11/2004,Nam,2442154
23,22110023,Vo Tung Anh,15/01/2004,Nam,4155746
24,22110024,Vu Thi Tu Anh,15/07/2004,Nu,9218462
25,22110025,Do Thi Ngoc Anh,07/09/2004,Nam,3491923
26,22110026,Nguyen Thai Bao,29/12/2004,Nam,2652417
27,22110027,Tran Duc Hoang Bao,09/08/2004,Nu,3313348
28,22110028,Le Thi Thanh Binh,22/02/2004,Nam,3793637
29,22110029,Nguyen Ngoc Thanh Binh,05/03/2004,Nam,9740891
30,22110030,Pham Nhu Binh,24/04/2004,Nu,7697471
