No,ID,Name,Birth,Sex,IDSocial
1,23170001,Dinh Hoai Phuc,26/05/2005,Nam,4945850
2,23170002,Nguyen Hanh Phuc,04/02/2005,Nam,3944792
3,23170003,Nguyen Kim Phuc,08/04/2005,Nu,2355896
4,23170004,Nguyen Vuong Hoang Phuc,07/02/2005,Nam,6636008
5,23170005,Vo Nguyen Huu Phuoc,10/04/2005,Nam,2891017
6,23170006,Cao Xuan Hong Phuong,10/05/2005,Nu,4765280
7,23170007,Dang Thi Hoang Phuong,24/09/2005,Nam,4770602
8,23170008,Nguyen Hoang Phuong,17/11/2005,Nam,6354966
9,23170009,Nguyen Nam Phuong,08/11/2005,Nu,1479640
10,23170010,Tran Thi Thu Phuong,01/09/2005,Nam,7280101
11,23170011,Bui Dinh Minh Quan,12/07/2005,Nam,7043774
12,23170012,Nguyen Hoang Quan,05/02/2005,Nu,7601726
13,23170013,Nguyen Minh Quan,17/01/2005,Nam,2013507
14,23170014,Tran Quan,07/12/2005,Nam,1740123
15,23170015,Vo Minh Quan,04/10/2005,Nu,9742689
16,23170016,Huynh Nhat Quang,06/03/2005,Nam,9365492
17,23170017,Vo Phan Thi To Quyen,02/01/2005,Nam,7602135
18,23170018,Ho Thi Nhu Quynh,16/07/2005,Nu,3959861
19,23170019,Bui Huynh Phuoc Sang,19/12/2005,Nam,5450677
20,23170020,Tran Ngoc Son,21/02/2005,Nam,3762283
21,23170021,Tran Thanh Tam,02/01/2005,Nu,6254554
22,23170022,Nguyen Le Thanh Thang,06/08/2005,Nam,6836539
23,23170023,Nguyen Tuan Thanh,27/04/2005,Nam,8711009
24,23170024,Nguyen Ngoc Thanh Thao,19/01/2005,Nu,8746546
25,23170025,Dang Ngoc Thi,23/01/2005,Nam,6758165
26,23170026,Ngo Ngoc Linh Thi,01/05/2005,Nam,3521718
27,23170027,Nguyen Thi Cam Thi,15/07/2005,Nu,8094019
28,23170028,Tran Duc Thien,15/11/2005,Nam,8726478
29,23170029,Tran Minh Thien,29/05/2005,Nam,8868992
30,23170030,Lai Thi Anh Thu,22/09/2005,Nu,3141619
