No,ID,Name,Birth,Sex,IDSocial
1,23150031,Nguyen Thi Thuy Duong,29/11/2005,Nam,4409634
2,23150032,Phan Thi Ngoc Duyen,20/03/2005,Nam,8251799
3,23150033,Bui Ngoc Cam Giang,10/08/2005,Nu,6313984
4,23150034,Nguyen Huu Tuan Hiep,30/09/2005,Nam,8290972
5,23150035,Tran Thi Hoai My,29/03/2005,Nam,1913528
6,23150036,Dang Gia Huong,13/10/2005,Nu,5462502
7,23150037,Le Thai Phuong Khanh,03/08/2005,Nam,9810384
8,23150038,Phan Dang Khoi,13/12/2005,Nam,6252913
9,23150039,Nguyen Trong Khuong,03/10/2005,Nu,3516018
10,23150040,Do Thi Phuong Linh,21/04/2005,Nam,4750001
11,23150041,Le Hoang Minh,19/07/2005,Nam,7314371
12,23150042,Duong My Mui,05/02/2005,Nu,8229894
13,23150043,Ho Thi My My,21/11/2005,Nam,9788567
14,23150044,Nguyen Thi Thien Nga,22/02/2005,Nam,7673306
15,23150045,Lai Truc Phuong,11/01/2005,Nu,1955086
16,23150046,Le Nguyen Cuc Phuong,07/12/2005,Nam,3781196
17,23150047,Nguyen Thien Quang,17/12/2005,Nam,6666611
18,23150048,Tran Tu Quyen,09/05/2005,Nu,6173242
19,23150049,Nguyen Nhu Quynh,23/03/2005,Nam,5452463
20,23150050,Lam Thi Thu Thao,30/05/2005,Nam,8055699
21,23150051,Ho Ngoc Thao Tien,06/11/2005,Nu,6773088
22,23150052,Nguyen Huynh Thuy Tien,16/06/2005,Nam,2740475
23,23150053,Pham Thanh Toan,06/07/2005,Nam,2413356
24,23150054,Vo Hoai Nhu Truc,16/07/2005,Nu,2243065
25,23150055,Le Ngoc Minh Tuyen,09/04/2005,Nam,7670792
26,23150056,Truong Nhat Uyen,24/08/2005,Nam,7078102
27,23150057,Ngo Minh Chau,17/02/2005,Nu,7805730
28,23150058,Duong Tan Dat,23/01/2005,Nam,1345252
29,23150059,Tran Thi My Dieu,22/12/2005,Nam,5379104
30,23150060,Do Huy Du,21/08/2005,Nu,3877441
