No,ID,Name,Birth,Sex,IDSocial
1,23110001,Pham Huy Truong Duc,23/05/2005,Nam,9171891
2,23110002,Vo Ho Thanh Duy,21/08/2005,Nam,2307147
3,23110003,Le Thi Thuy Giang,04/06/2005,Nu,3561181
4,23110004,Huynh Gia Han,12/09/2005,Nam,1237672
5,23110005,Nguyen Thi Ngoc Han,04/01/2005,Nam,1912271
6,23110006,Ngo Quoc Hieu,28/05/2005,Nu,9568514
7,23110007,Tran Minh Hoang,10/12/2005,Nam,5673076
8,23110008,Nguyen Thi My Hong,24/11/2005,Nam,2818979
9,23110009,Truong Nguyen Ngoc Hue,28/02/2005,Nu,4581835
10,23110010,Van Ngoc Khai,08/04/2005,Nam,4514975
11,23110011,Vo Phi Long,30/09/2005,Nam,9413243
12,23110012,Nguyen Viet Luan,30/09/2005,Nu,7760233
13,23110013,Khuu To Nga,03/08/2005,Nam,3404299
14,23110014,Nguyen Luu Bich Ngan,14/11/2005,Nam,8019733
15,23110015,Truong Thanh Ngan,09/09/2005,Nu,7178602
16,23110016,Vo Thanh Ngan,10/06/2005,Nam,3367349
17,23110017,Vo Thi Hong Nguyen,10/03/2005,Nam,7644918
18,23110018,Nguyen Quynh Nhu,10/05/2005,Nu,1004162
19,23110019,Phan Thi Hoang Oanh,21/08/2005,Nam,3375481
20,23110020,Bui Lieu Mai Phuong,15/03/2005,Nam,6643584
21,23110021,Pham Le Anh Quan,30/04/2005,Nu,7487098
22,23110022,Nguyen Ngoc Nhu Quynh,17/12/2005,Nam,2070463
23,23110023,Dinh Van Thanh,07/07/2005,Nam,3982751
24,23110024,Le Hoang Nhu Thao,07/07/2005,Nu,1451386
25,23110025,Nguyen Thi Phuong Thi,17/12/2005,Nam,8112057
26,23110026,Mai Huynh Chi Thong,10/04/2005,Nam,9445872
27,23110027,Dang Pham Anh Thu,23/06/2005,Nu,3698812
28,23110028,Ngo Thien Thu,18/09/2005,Nam,1896238
29,23110029,Nguyen Chi Hoa Thuan,25/09/2005,Nam,7036457
30,23110030,Cao Hoang Khanh Tran,10/12/2005,Nu,3928925
