ID,Name,Birth,Sex,Idsocial
20150003,Bui  Tai,03/11/2002,Nam,8012044
20150004,Co To Lam ,21/11/2002,Nu,2140762
20150005,Khuyet Thinh,14/11/2002,Nu,9828928
20150006,Thong Tai,25/12/2002,Nu,6224445
20150007,Van Nam Giang Thi,11/11/2002,Nam,4428944
20150008,Hao A Sinh,16/12/2002,Nam,4620615
20150009,Huynh Ngoc Tram,25/11/2002,Nu,6972489
20150010,Le Minh ,09/11/2002,Nu,6000524
20150011,Le  Hoang Quan,10/12/2002,Nu,3624236
20150012,Le Uyen Nhi,03/11/2002,Nam,4566106
20150013,Mai Thanh Binh,28/11/2002,Nam,9564314
20150014,Ghe Gom,09/12/2002,Nu,7895501
20150015,Ngun Minh Duy,15/12/2002,Nu,7152274
20150016,Nguyen Nung,06/12/2002,Nu,7823356
20150017,Nguyen Tai,23/12/2002,Nam,7566347
20150018, Kim Nhung,01/11/2002,Nam,6792749
20150019, Thuy Trang,22/12/2002,Nu,7374241
20150020,Tien Minh,29/11/2002,Nu,6722564
20150021,Nguyen Tai,13/12/2002,Nu,6469631
20150022,Nguyen Tung,10/11/2002,Nam,1323038
20150023,Trinh Ngoc Thanh,08/11/2002,Nam,8819681
20150024,Thien Tan,01/12/2002,Nu,3082121
20150025,Truong Khoa,08/12/2002,Nu,9428065
20150026,Lop Thanh,02/12/2002,Nu,2855334
20150027,Duc Dao,08/11/2002,Nam,8586141
20150028, Quang Huy,03/12/2002,Nam,6089307
20150029, Thien Hao,20/12/2002,Nu,8373841
20150030,Tuan Kiet,05/12/2002,Nu,2715971
20150031,Truong  Trong Quoc,27/12/2002,Nu,9770424
20150032,Vo Hoa,14/12/2002,Nam,6894932
20110001,Tam Hoan,03/11/2002,Nam ,3502335
20110002,Hoang Kieu Huy,21/11/2002,Nam ,1791793
20110003,Cao Thanh Huy,14/11/2002,Nu,3779848
20110004,Nguyen Linh,25/12/2002,Nam ,9412817
20110005,Huynh Thuy Mi,11/11/2002,Nu,6260856
20110006,Phan  My,16/12/2002,Nam ,8429424
20110007, Tu Nhi,25/11/2002,Nam ,1577186
20110008,Th?ch Gia Quyen,09/11/2002,Nu,7853018
20110009, Han Ry,10/12/2002,Nam ,4279587
20110010,Nguy?n Le Anh Th?,03/11/2002,Nu,7403238
20110011,Thuy Tram,28/11/2002,Nam ,9606896
20110012,Trinh Quoc Cuong,09/12/2002,Nam ,6071461
20110013, Cao Anh Tu,15/12/2002,Nu,8918506
20110014,Phuong Uyen,06/12/2002,Nam ,6991680
20110015,Linh An,23/12/2002,Nu,3214474
20110016,Thuy Dung,01/11/2002,Nam ,6359534
20110017,Tung Bach,22/12/2002,Nam ,3650032
20110018,Le Minh Thu,29/11/2002,Nu,9112890
20110019,Nguye Thieu ,13/12/2002,Nam ,6417863
20110020,Le Minh Hung,10/11/2002,Nu,8978329
20110021,Le Trong Hung,08/11/2002,Nam ,2674350
20110022,Tuong Vy,01/12/2002,Nam ,4161326
20110023,Nguyen Linh,08/12/2002,Nu,1022802
20110024,Phung Minh Kha,02/12/2002,Nam ,1655020
20110025, Hoang Long,08/11/2002,Nu,8227944
20110026, Hoai Khanh Ly,03/12/2002,Nam ,9792561
20110027,Hoang My,20/12/2002,Nam ,9612049
20110028,Ky Nam,05/12/2002,Nu,1203875
20110029,Vo Thuy ,27/12/2002,Nam ,4404699
20110030,Thuy Nhien,14/12/2002,Nu,5298355
21120001,Nguyen Huu Khai Duy,06/06/2003,Nam,9733604
21120002,Dam Huy Giau,23/09/2003,Nam,9734643
21120003,Tang Nhat Hao,05/03/2003,Nu,3439917
21120004,Nguyen Dieu Linh,23/06/2003,Nam,8147434
21120005,Ngo Hong Phi Loan,12/02/2003,Nam,4697269
21120006,Nguyen Ho Nam,07/09/2003,Nu,1089851
21120007,Phan Nguyen Hoai Nam,06/08/2003,Nam,7583033
21120008,Bo Khanh Ngoc,11/08/2003,Nam,2610091
21120009,Nguyen Ba Thao Nguyen,27/11/2003,Nu,2663100
21120010,Nguyen Nhat Yen Phuong,19/01/2003,Nam,8728294
21120011,Tran Nguyen Tan,29/09/2003,Nam,7720238
21120012,Nguyen Hoang Phuc Tien,14/11/2003,Nu,2628907
21120013,Nguyen Le Phuong Trang,11/04/2003,Nam,5344463
21120014,Pham Thi Kim Thanh,15/01/2003,Nam,6274703
21120015,Pham Thi Bich Van,29/01/2003,Nu,4251249
21120016,Ly Xuan Anh,08/08/2003,Nam,6577639
21120017,Ngo Thi Kim Anh,07/07/2003,Nam,9788767
21120018,Ngo Thi Phuong Anh,22/09/2003,Nu,3352222
21120019,Nguyen Minh Tram Anh,11/03/2003,Nam,8591882
21120020,Pham My Anh,15/12/2003,Nam,6021680
21120021,Tran Thi Minh Anh,10/02/2003,Nu,6570367
21120022,Tran Ngoc Bac,06/04/2003,Nam,8647419
21120023,Vu Van Cang,19/01/2003,Nam,5607566
21120024,Doan Le Bao Chau,27/03/2003,Nu,6058715
21120025,Ha Vinh Kim Chau,11/08/2003,Nam,1579413
21120026,Doan Ngoc Uyen Chi,28/10/2003,Nam,2273272
21120027,Nguyen Ngoc Phuong Chi,26/05/2003,Nu,5617746
21120028,Phan Huu Chuc,03/12/2003,Nam,4325448
21120029,Nguyen Duy Anh Chuong,11/03/2003,Nam,2378495
21120030,Dang Quoc Cuong,12/11/2003,Nu,9983282
