ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
23120031,Nguyen Tien Dat,27/11/2005,Nam,5436315
23120032,Tran Nguyen Thanh Dat,14/02/2005,Nam,6583531
23120033,Tran Nguyen Minh Dong,29/03/2005,Nu,7892886
23120034,Ho Thi Kim Dung,14/01/2005,Nam,4200589
23120035,Le Thi Thuy Duong,15/01/2005,Nam,1880769
23120036,Mai Quoc Duy,06/01/2005,Nu,7128167
23120037,Nguyen Thi Hong Gam,20/04/2005,Nam,7609730
23120038,Nguyen Quynh Giang,25/03/2005,Nam,4662208
23120039,Nguyen Thi Thu Ha,09/11/2005,Nu,8649955
23120040,Tran My Han,21/11/2005,Nam,4240891
23120041,Le Ngoc Thanh Hien,01/07/2005,Nam,6325659
23120042,Le Viet Hien,10/03/2005,Nu,2897949
23120043,Vo Minh Hieu,07/11/2005,Nam,5000730
23120044,Phan My Hue,21/11/2005,Nam,1665888
23120045,Nguyen Thi Kim Huong,22/12/2005,Nu,3058472
23120046,Nguyen Le Hoang Huy,01/12/2005,Nam,6868950
23120047,Tang Giac Huy,10/10/2005,Nam,5794959
23120048,Dao Thi Huyen,26/05/2005,Nu,2694830
23120049,Huynh Tan Thanh Kha,01/04/2005,Nam,3310983
23120050,Tran Van Khai,25/02/2005,Nam,3561838
23120051,Truong Vi Khang,29/08/2005,Nu,3796985
23120052,Dang Dang Khoa,07/10/2005,Nam,5539753
23120053,Nguyen Tran Nhac Khoa,28/08/2005,Nam,3300942
23120054,Ho Le Minh Khue,10/09/2005,Nu,6412820
23120055,Pham Thi Thuy Kieu,11/06/2005,Nam,4706005
23120056,Pham Tran Thien Kim,19/10/2005,Nam,3878874
23120057,Le Vinh Lam,20/07/2005,Nu,6731505
23120058,Nguy Ngoc Hoang Lan,25/02/2005,Nam,1749892
23120059,Dang Thi Yen Linh,25/12/2005,Nam,6837692
23120060,Nguyen Doan Nhu Linh,19/03/2005,Nu,4504613
23120061,Nguyen Hoang Gia Linh,15/01/2005,Nam,7239651
23120062,Nguyen Thi Truc Linh,17/07/2005,Nam,4339550
23120063,Tran Quang Linh,08/09/2005,Nu,5598758
23120064,Nguyen Huu Loc,25/10/2005,Nam,2587232
23120065,Nguyen Cam Ly,02/06/2005,Nam,5454686
23120066,Nguyen Quang Minh,11/07/2005,Nu,4660416
23120067,Ta Duong Anh Minh,21/12/2005,Nam,2499353
23120068,Ngo Quynh My,27/09/2005,Nam,6928825
23120069,Nguyen Mai Nhat My,19/11/2005,Nu,4935881
23120070,Tran Thi Truc My,28/09/2005,Nam,4886718
23120071,Dang Hoang Nam,24/07/2005,Nam,9063093
23120072,Ly Kim Ngan,07/11/2005,Nu,5148855
23120073,Nguyen Huynh Kim Ngan,01/08/2005,Nam,7525081
23120074,Tran Vu Kim Ngan,28/02/2005,Nam,3364640
23120075,Luong Ngoc Nghi,23/06/2005,Nu,9165601
23120076,Nguyen Phuong Nghi,07/05/2005,Nam,7034521
23120077,Tran Phuong Nghi,04/01/2005,Nam,6376942
23120078,Truong Tu Nghi,20/12/2005,Nu,8107546
23120079,Tran Le Thanh Ngoc,16/02/2005,Nam,9538736
23120080,Do Ngoc Phuong Nhi,12/03/2005,Nam,4704195
23120081,Nguyen Ngoc Nhu,24/02/2005,Nu,9875786
23120082,Tran Quynh Nhu,04/02/2005,Nam,9860002
23120083,Van Cam Nhung,12/10/2005,Nam,1216374
23120084,Ha Hoang Oanh,20/11/2005,Nu,1315471
23120085,Bui Tan Phat,18/01/2005,Nam,7419309
23120086,Nguyen Tan Phat,07/05/2005,Nam,6192477
23120087,Quach Hong Phat,14/10/2005,Nu,2978609
23120088,Huynh Yen Phi,12/05/2005,Nam,7099102
23120089,Nguyen Dinh Phi,02/01/2005,Nam,6292278
23120090,Lam Dinh Gia Phu,24/01/2005,Nu,2141377
23170001,Dinh Hoai Phuc,26/05/2005,Nam,4945850
23170002,Nguyen Hanh Phuc,04/02/2005,Nam,3944792
23170003,Nguyen Kim Phuc,08/04/2005,Nu,2355896
23170004,Nguyen Vuong Hoang Phuc,07/02/2005,Nam,6636008
23170005,Vo Nguyen Huu Phuoc,10/04/2005,Nam,2891017
23170006,Cao Xuan Hong Phuong,10/05/2005,Nu,4765280
23170007,Dang Thi Hoang Phuong,24/09/2005,Nam,4770602
23170008,Nguyen Hoang Phuong,17/11/2005,Nam,6354966
23170009,Nguyen Nam Phuong,08/11/2005,Nu,1479640
23170010,Tran Thi Thu Phuong,01/09/2005,Nam,7280101
23170011,Bui Dinh Minh Quan,12/07/2005,Nam,7043774
23170012,Nguyen Hoang Quan,05/02/2005,Nu,7601726
23170013,Nguyen Minh Quan,17/01/2005,Nam,2013507
23170014,Tran Quan,07/12/2005,Nam,1740123
23170015,Vo Minh Quan,04/10/2005,Nu,9742689
23170016,Huynh Nhat Quang,06/03/2005,Nam,9365492
23170017,Vo Phan Thi To Quyen,02/01/2005,Nam,7602135
23170018,Ho Thi Nhu Quynh,16/07/2005,Nu,3959861
23170019,Bui Huynh Phuoc Sang,19/12/2005,Nam,5450677
23170020,Tran Ngoc Son,21/02/2005,Nam,3762283
23170021,Tran Thanh Tam,02/01/2005,Nu,6254554
23170022,Nguyen Le Thanh Thang,06/08/2005,Nam,6836539
23170023,Nguyen Tuan Thanh,27/04/2005,Nam,8711009
23170024,Nguyen Ngoc Thanh Thao,19/01/2005,Nu,8746546
23170025,Dang Ngoc Thi,23/01/2005,Nam,6758165
23170026,Ngo Ngoc Linh Thi,01/05/2005,Nam,3521718
23170027,Nguyen Thi Cam Thi,15/07/2005,Nu,8094019
23170028,Tran Duc Thien,15/11/2005,Nam,8726478
23170029,Tran Minh Thien,29/05/2005,Nam,8868992
23170030,Lai Thi Anh Thu,22/09/2005,Nu,3141619
