ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
22150001,Pham Huy Truong Duc,16/05/2004,Nam,9171891
22150002,Vo Ho Thanh Duy,20/11/2004,Nam,2307147
22150003,Le Thi Thuy Giang,29/04/2004,Nu,3561181
22150004,Huynh Gia Han,05/07/2004,Nam,1237672
22150005,Nguyen Thi Ngoc Han,08/10/2004,Nam,1912271
22150006,Ngo Quoc Hieu,21/08/2004,Nu,9568514
22150007,Tran Minh Hoang,17/12/2004,Nam,5673076
22150008,Nguyen Thi My Hong,24/01/2004,Nam,2818979
22150009,Truong Nguyen Ngoc Hue,29/08/2004,Nu,4581835
22150010,Van Ngoc Khai,30/04/2004,Nam,4514975
22150011,Vo Phi Long,19/09/2004,Nam,9413243
22150012,Nguyen Viet Luan,15/04/2004,Nu,7760233
22150013,Khuu To Nga,11/12/2004,Nam,3404299
22150014,Nguyen Luu Bich Ngan,14/09/2004,Nam,8019733
22150015,Truong Thanh Ngan,05/11/2004,Nu,7178602
22150016,Vo Thanh Ngan,21/08/2004,Nam,3367349
22150017,Vo Thi Hong Nguyen,24/08/2004,Nam,7644918
22150018,Nguyen Quynh Nhu,30/11/2004,Nu,1004162
22150019,Phan Thi Hoang Oanh,07/05/2004,Nam,3375481
22150020,Bui Lieu Mai Phuong,16/04/2004,Nam,6643584
22150021,Pham Le Anh Quan,27/01/2004,Nu,7487098
22150022,Nguyen Ngoc Nhu Quynh,16/11/2004,Nam,2070463
22150023,Dinh Van Thanh,24/04/2004,Nam,3982751
22150024,Le Hoang Nhu Thao,28/05/2004,Nu,1451386
22150025,Nguyen Thi Phuong Thi,26/08/2004,Nam,8112057
22150026,Mai Huynh Chi Thong,25/10/2004,Nam,9445872
22150027,Dang Pham Anh Thu,06/10/2004,Nu,3698812
22150028,Ngo Thien Thu,21/03/2004,Nam,1896238
22150029,Nguyen Chi Hoa Thuan,05/04/2004,Nam,7036457
22150030,Cao Hoang Khanh Tran,03/01/2004,Nu,3928925
22110001,Nguyen Thi Thu Trang,10/11/2004,Nam,4863031
22110002,Le Tran Thanh Truc,03/07/2004,Nam,1132433
22110003,Bui Trinh Trung,24/09/2004,Nu,6435089
22110004,Tran Anh Tuan,25/02/2004,Nam,2176236
22110005,Ho Ngoc Tuyen,22/07/2004,Nam,5046765
22110006,Nguyen Phuong Uyen,29/11/2004,Nu,3882790
22110007,Nguyen Vo Thao Vy,14/06/2004,Nam,3898013
22110008,Phan Tran Nhat Vy,10/04/2004,Nam,1030755
22110009,Nguyen Ngoc Xuyen,24/02/2004,Nu,3505346
22110010,Luu Huu Phuoc,19/05/2004,Nam,1982911
22110011,Le Quoc An,17/02/2004,Nam,5512644
22110012,Nguyen Tran Thien An,11/03/2004,Nu,8611497
22110013,Tran Vu Hong An,21/11/2004,Nam,2698915
22110014,Bui Thi Ngoc Anh,11/10/2004,Nam,6559168
22110015,Huynh Ngoc Que Anh,01/03/2004,Nu,3402810
22110016,Nguyen Phuc Tai Anh,26/03/2004,Nam,3101584
22110017,Nguyen Quynh Anh,10/04/2004,Nam,1493118
22110018,Pham Thi Duy Anh,02/01/2004,Nu,6894182
22110019,Pham Thi Phuong Anh,20/12/2004,Nam,2887511
22110020,Pham Thi Trang Anh,06/05/2004,Nam,5206453
22110021,Tran Do Van Anh,12/05/2004,Nu,1441073
22110022,Tran Thi Van Anh,03/11/2004,Nam,2442154
22110023,Vo Tung Anh,15/01/2004,Nam,4155746
22110024,Vu Thi Tu Anh,15/07/2004,Nu,9218462
22110025,Do Thi Ngoc Anh,07/09/2004,Nam,3491923
22110026,Nguyen Thai Bao,29/12/2004,Nam,2652417
22110027,Tran Duc Hoang Bao,09/08/2004,Nu,3313348
22110028,Le Thi Thanh Binh,22/02/2004,Nam,3793637
22110029,Nguyen Ngoc Thanh Binh,05/03/2004,Nam,9740891
22110030,Pham Nhu Binh,24/04/2004,Nu,7697471
23120001,Nguyen Huu Khai Duy,24/12/2005,Nam,9733604
23120002,Dam Huy Giau,23/08/2005,Nam,9734643
23120003,Tang Nhat Hao,06/07/2005,Nu,3439917
23120004,Nguyen Dieu Linh,14/10/2005,Nam,8147434
23120005,Ngo Hong Phi Loan,30/11/2005,Nam,4697269
23120006,Nguyen Ho Nam,23/08/2005,Nu,1089851
23120007,Phan Nguyen Hoai Nam,01/07/2005,Nam,7583033
23120008,Bo Khanh Ngoc,26/08/2005,Nam,2610091
23120009,Nguyen Ba Thao Nguyen,08/05/2005,Nu,2663100
23120010,Nguyen Nhat Yen Phuong,12/03/2005,Nam,8728294
23120011,Tran Nguyen Tan,22/04/2005,Nam,7720238
23120012,Nguyen Hoang Phuc Tien,27/11/2005,Nu,2628907
23120013,Nguyen Le Phuong Trang,03/06/2005,Nam,5344463
23120014,Pham Thi Kim Thanh,04/08/2005,Nam,6274703
23120015,Pham Thi Bich Van,02/02/2005,Nu,4251249
23120016,Ly Xuan Anh,03/08/2005,Nam,6577639
23120017,Ngo Thi Kim Anh,05/01/2005,Nam,9788767
23120018,Ngo Thi Phuong Anh,24/09/2005,Nu,3352222
23120019,Nguyen Minh Tram Anh,18/05/2005,Nam,8591882
23120020,Pham My Anh,20/07/2005,Nam,6021680
23120021,Tran Thi Minh Anh,04/12/2005,Nu,6570367
23120022,Tran Ngoc Bac,24/04/2005,Nam,8647419
23120023,Vu Van Cang,06/12/2005,Nam,5607566
23120024,Doan Le Bao Chau,01/07/2005,Nu,6058715
23120025,Ha Vinh Kim Chau,06/01/2005,Nam,1579413
23120026,Doan Ngoc Uyen Chi,08/08/2005,Nam,2273272
23120027,Nguyen Ngoc Phuong Chi,06/12/2005,Nu,5617746
23120028,Phan Huu Chuc,02/09/2005,Nam,4325448
23120029,Nguyen Duy Anh Chuong,18/07/2005,Nam,2378495
23120030,Dang Quoc Cuong,26/02/2005,Nu,9983282
