ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
22120057,Dinh Hoai Phuc,25/10/2004,Nam,4945850
22120059,Nguyen Hanh Phuc,26/11/2004,Nam,3944792
22120061,Nguyen Kim Phuc,10/12/2004,Nu,2355896
22120063,Nguyen Vuong Hoang Phuc,26/03/2004,Nam,6636008
22120065,Vo Nguyen Huu Phuoc,24/11/2004,Nam,2891017
22120067,Cao Xuan Hong Phuong,03/08/2004,Nu,4765280
22120069,Dang Thi Hoang Phuong,08/12/2004,Nam,4770602
22120071,Nguyen Hoang Phuong,19/05/2004,Nam,6354966
22120073,Nguyen Nam Phuong,29/05/2004,Nu,1479640
22120075,Tran Thi Thu Phuong,04/10/2004,Nam,7280101
22120077,Bui Dinh Minh Quan,09/10/2004,Nam,7043774
22120079,Nguyen Hoang Quan,03/02/2004,Nu,7601726
22120081,Nguyen Minh Quan,18/03/2004,Nam,2013507
22120083,Tran Quan,12/05/2004,Nam,1740123
22120085,Vo Minh Quan,01/07/2004,Nu,9742689
22120087,Huynh Nhat Quang,20/12/2004,Nam,9365492
22120089,Vo Phan Thi To Quyen,13/02/2004,Nam,7602135
22120091,Ho Thi Nhu Quynh,19/08/2004,Nu,3959861
22120093,Bui Huynh Phuoc Sang,02/11/2004,Nam,5450677
22120095,Tran Ngoc Son,28/04/2004,Nam,3762283
22120097,Tran Thanh Tam,17/10/2004,Nu,6254554
22120099,Nguyen Le Thanh Thang,28/10/2004,Nam,6836539
22120101,Nguyen Tuan Thanh,17/11/2004,Nam,8711009
22120103,Nguyen Ngoc Thanh Thao,04/06/2004,Nu,8746546
22120105,Dang Ngoc Thi,17/09/2004,Nam,6758165
22120107,Ngo Ngoc Linh Thi,14/06/2004,Nam,3521718
22120109,Nguyen Thi Cam Thi,06/08/2004,Nu,8094019
22120111,Tran Duc Thien,02/11/2004,Nam,8726478
22120113,Tran Minh Thien,05/07/2004,Nam,8868992
22120115,Lai Thi Anh Thu,06/01/2004,Nu,3141619
22120250,Tran Ngoc Anh Thu,27/07/2004,Nam,7790911
22120251,Nguyen Thi Cam Tien,02/06/2004,Nam,1950289
22120252,Tran Thuy Tien,14/03/2004,Nu,1772829
22120253,Tran Que Tram,30/11/2004,Nam,1276710
22120254,Nguyen Thi Tuyet Tran,03/06/2004,Nam,6712140
22120255,Bui Thi Le Trang,22/08/2004,Nu,3025703
22120256,Pham Thi Phuong Trang,11/06/2004,Nam,5564892
22120257,Pham Doan Minh Tri,07/02/2004,Nam,9627640
