STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,20120001,Thong Qua,20CTT1,7.7,10,8,9.11
2,20120002,Mot Loat,20CTT1,6,8,4,7
3,20120003,Nhien Cuu,20CTT1,5,8,4,6.7
4,20120004,Nhanh cham,20CTT1,4,10,10,8.2
5,20120005,Sao Tai,20CTT1,6,5,4,5.2
6,20120006,Hoan Toan,20CTT1,9,4,8,5.9
7,20120007,Van Toan,20CTT1,4,6,4,5.2
8,20120008,Nhu Y,20CTT1,7,6,9,6.6
9,20120009,Ngoc Tram,20CTT1,10,10,4,9.4
10,20120010,Tram Tinh ,20CTT1,10,4,4,5.8
11,20120011,Vo Menh,20CTT1,6,6,5,5.9
12,20120012,Song Senh,20CTT1,8,9,7,8.5
13,20120013,Khuong Tu,20CTT1,10,8,7,8.5
14,20120014,Tu Tran,20CTT1,6,9,9,8.1
15,20120015,Cam Cuc,20CTT1,7,4,5,5
16,20120016,Anh Mong,20CTT1,9,8,6,8.1
17,20120017,Tung Trai,20CTT1,9,5,6,6.3
18,20120018,Truoc Het,20CTT1,9,7,6,7.5
19,20120019,Hoan Lai,20CTT1,6,9,5,7.7
20,20120020,Phung Dieu,20CTT1,9,10,10,9.7
21,20120021,Khuong Nha,20CTT1,10,8,9,8.7
22,20120022,Trai Dang,20CTT1,9,8,5,8
23,20120023,Thuc TE,20CTT1,8,7,10,7.6
24,20120024,Giai Thich,20CTT1,6,4,6,4.8
25,20120025, Thu Hut,20CTT1,4,10,4,7.6
26,20120026,Nhat Chinh,20CTT1,4,4,6,4.2
27,20120027,Dang Duc,20CTT1,4,7,10,6.4
28,20120028,Dang Cuc,20CTT1,6,5,4,5.2
29,20120029,Thua Thoi,20CTT1,7,8,4,7.3
30,20120030,Khoi Thi,20CTT1,5,6,6,5.7
31,20120031,Bach Thanh Chien,20CTT2,6,4,4,4.6
32,20120032,Hoang Khuy,20CTT2,9,7,8,7.7
33,20120033,Huynh Hoang,20CTT2,6,6,7,6.1
34,20120034,Hoang Thu tu,20CTT2,6,6,10,6.4
35,20120035,Tu Huu Tinh,20CTT2,4,5,7,4.9
36,20120036,Tinh Thin,20CTT2,6,4,9,5.1
37,20120037,Hoang Ha,20CTT2,10,6,9,7.5
38,20120038,Buong Tha ,20CTT2,8,4,10,5.8
39,20120039,Tha Thu,20CTT2,4,4,10,4.6
40,20120040,Gu Chao,20CTT2,9,5,10,6.7
41,20120041,Giang Ha,20CTT2,4,10,6,7.8
42,20120042,Son Dia,20CTT2,5,4,5,4.4
43,20120043,Dia Chan,20CTT2,6,4,7,4.9
44,20120044,Khinh Than,20CTT2,7,6,6,6.3
45,20120045,Khai Hoang,20CTT2,7,10,7,8.8
46,20120046,Chung Ta,20CTT2,7,6,8,6.5
47,20120047,Co Phai ,20CTT2,6,8,6,7.2
48,20120048,La Nhung,20CTT2,9,8,5,8
49,20120049,Con Nguoi,20CTT2,5,5,8,5.3
50,20120050,Ly Tri,20CTT2,10,8,4,8.2
51,20120051,Quyet Moi ,20CTT2,6,8,6,7.2
52,20120052,Van Vuong,20CTT2,10,10,10,10
53,20120053,Suy Tnh,20CTT2,7,5,5,5.6
54,20120054,Can Than,20CTT2,9,7,6,7.5
55,20120055,Thoi Gian,20CTT2,7,10,4,8.5
56,20120056,Dai Truong,20CTT2,4,4,9,4.5
57,20120057,Hoc Gia,20CTT2,9,7,5,7.4
58,20120058,Gieo Rat,20CTT2,6,10,6,8.4
59,20120059,Quan Diem,20CTT2,8,10,6,9
60,20120060,Thong Nhat,20CTT2,5,4,10,4.9
61,20171717,Le Hoai Anh,20HOH1,10,9,10,9.4
62,20171718,Le Quynh Anh,20HOH1,10,4,4,5.8
63,20171719,Hoang Chi Vo,20HOH1,7,8,6,7.5
64,20171720,Nguyen Gia Bao,20HOH1,5,6,5,5.6
65,20171721,Nguyen Kim ,20HOH1,5,6,7,5.8
66,20171722,Nguyen Anh Bao,20HOH1,7,7,10,7.3
67,20171723,Tran Hoang Anh Khoa,20HOH1,10,4,10,6.4
68,20171724,Tran Hoang Khoi,20HOH1,8,10,6,9
69,20171725,Du Quang Luc,20HOH1,10,10,10,10
70,20171726,Nguyen Hung Luc,20HOH1,7,5,5,5.6
71,20171727,Nguyen Huu Minh,20HOH1,9,7,6,7.5
72,20171728,Nguyen Truong Thang,20HOH1,7,10,4,8.5
73,20171729,Dieu Ngoc,20HOH1,4,4,9,4.5
74,20171730,Truong Tieu Thanh,20HOH1,9,7,5,7.4
75,20171731,Duong Ngoc Phong,20HOH1,6,10,6,8.4
76,20171732,To Tran Thien Phuc,20HOH1,8,10,6,9
77,20171733,Nguy Anh Quan,20HOH1,5,4,10,4.9
78,20171734,Vo Thanh Thien,20HOH1,10,9,10,9.4
79,20171735,Nguyen Huynh Tram,20HOH1,7,8,5,7.4
80,20171736,Le Hoang Thien Y,20HOH1,7,9,8,8.3
81,20171737,Ly Tinh,20HOH1,6,7,10,7
82,20171738,Le Loc,20HOH1,6,4,8,5
83,20171739,Gigolo,20HOH1,5,5,10,5.5
84,20171740,Tyrant,20HOH1,9,4,10,6.1
85,20171741,Racist,20HOH1,4,6,7,5.5
86,20171742,Brotherhood,20HOH1,9,9,4,8.5
87,20171743,Robinhood,20HOH1,10,6,5,7.1
88,20171744,Captain Kirt,20HOH1,7,7,6,6.9
89,20171745,Di Van,20HOH1,6,5,10,5.8
90,20171746,Do Day,20HOH1,5,5,4,4.9
