No,ID,Name,Birth,Sex,IDSocial
1,23120000,Huynh Le An,12/02/2005,Nu,39664250
2,23120001,Nguyen Minh An,06/01/2005,Nam,18805161
3,23120002,Nguyen Thien An,03/05/2005,Nam,55521807
4,23120003,Nguyen Viet An,13/12/2005,Nu,61914133
5,23120004,Phan Truong An,25/04/2005,Nam,67551041
6,23120005,Vo Hoai An,03/12/2005,Nam,76749160
7,23120006,Tran Thi Minh Anh,05/09/2005,Nu,26088985
8,23120007,Nguyen Quang Gia Bao,28/12/2005,Nu,43065910
9,23120008,Tran Kim Bao,03/12/2005,Nam,73760694
10,23120009,Truong Quan Bao,20/08/2005,Nam,83429137
11,23120010,Vuong Le Duc Binh,06/04/2005,Nu,25952511
12,23120011,Ngo Thi Ngoc Boi,25/10/2005,Nam,64086358
13,23120012,Ho Thi Kim Chi,06/11/2005,Nam,40797030
14,23120013,Ngo Xuan Chien,27/03/2005,Nu,17369930
15,23120014,Nguyen Hai Dang,10/08/2005,Nu,81873682
16,23120015,Nguyen Nhat Dang,21/11/2005,Nam,68208428
17,23120016,Nguyen Thanh Dat,12/09/2005,Nam,59553324
18,23120017,Nguyen Thanh Dat,19/06/2005,Nam,74541763
19,23120018,Nguyen The Dat,31/05/2005,Nu,94839859
20,23120019,Tran Quoc Dinh,02/12/2005,Nam,95873262
21,23120020,Le Ngoc Duc,10/05/2005,Nam,24226903
22,23120021,Nguyen Tri Duc,10/10/2005,Nam,88212420
23,23120022,Pham Duong Truong Duc,05/12/2005,Nu,81537764
24,23120023,Le Thi Thuy Duong,07/11/2005,Nam,29124734
25,23120024,Lam Quang Duy,29/07/2005,Nam,92408738
26,23120025,Phan Duy,24/11/2005,Nam,99891777
27,23120026,Tao Khanh Duy,07/09/2005,Nam,22846524
28,23120027,Nguyen Thi Bich Ha,23/06/2005,Nam,10091625
29,23120028,Phan Ngoc Son Ha,09/02/2005,Nam,91086995
30,23120029,Van Ly Hai,19/05/2005,Nu,80399230
31,23120030,Nguyen Gia Hao,17/10/2005,Nam,10358399
32,23120031,Le Thi Minh Hien,07/06/2005,Nam,92029420
33,23120032,Mai Vinh Hien,03/02/2005,Nu,65877750
34,23120033,Nguyen Quang Hien,08/12/2005,Nam,50394606
35,23120034,Nguyen The Hien,19/08/2005,Nam,91097251
36,23120035,Trinh Huu Hiep,22/02/2005,Nu,23448175
37,23120036,Nguyen Thanh Hieu,11/01/2005,Nu,22913511
38,23120037,Nguyen Trong Hieu,06/08/2005,Nam,92233581
39,23120038,Nguyen Van Hieu,23/09/2005,Nam,87726346
40,23120039,Tran Xuan Hoa,03/09/2005,Nu,61903748
41,23120040,Duong Dinh Bao Hoang,08/05/2005,Nam,30948912
42,23120041,Le Nguyen Thanh Hoang,21/02/2005,Nu,70250833
43,23120042,Le Xuan Hoang,09/08/2005,Nam,56532434
44,23120043,Tran Huy Hoang,13/07/2005,Nam,11540140
45,23120044,Nguyen Thi Hong Nhung,22/09/2005,Nam,50540462
46,23120045,Pham Phu Hung,17/07/2005,Nu,95735819
47,23120046,Ngo Quang Hung,10/07/2005,Nam,37065451
48,23120047,Nguyen Duy Hung,12/05/2005,Nam,89140447
49,23120048,Trieu Tan Hung,14/12/2005,Nu,30755090
50,23120049,Tran Huynh Huong,29/03/2005,Nam,86379015
51,23120050,Do Minh Huy,05/01/2005,Nu,57333972
52,23120051,Du Quoc Huy,07/01/2005,Nam,82125498
53,23120052,Du Thanh Huy,05/06/2005,Nam,57797309
54,23120053,Le Hoang Huy,11/11/2005,Nam,13358223
55,23120054,Pham Duc Huy,07/08/2005,Nam,50521292
56,23120055,Truong Ngoc Huy,12/07/2005,Nu,30573277
57,23120056,Le Nguyen Khang,14/04/2005,Nam,91434200
58,23120057,Nguyen Dang Nam Khanh,18/09/2005,Nu,81642311
59,23120058,Pham Le Quoc Khanh,31/08/2005,Nam,72774253
60,23120059,Pham Nguyen Khanh Minh,21/05/2005,Nam,99341812
61,23120060,Nguyen Anh Khoa,04/03/2005,Nu,71374642
62,23120061,Nguyen Viet Khoa,19/12/2005,Nam,11277894
63,23120062,Pham Nhat Anh Khoa,04/11/2005,Nu,37475571
64,23120063,Bui Anh Kiet,26/03/2005,Nam,19029000
65,23120064,Tran Minh Tuan Kiet,17/10/2005,Nu,56309333
66,23120065,Nguyen Thi Cam Lai,15/01/2005,Nam,82571101
67,23120066,Dinh Thi Hoang Linh,09/09/2005,Nu,59504028
68,23120067,Nguyen Van Loc,22/06/2005,Nam,12664534
69,23120068,Nguyen Tuan Minh,02/07/2005,Nam,63228908
70,23120069,Pham Le Hoai Minh,03/07/2005,Nu,44349064
71,23120070,Tran Nguyen Khai Minh,16/07/2005,Nam,89757631
72,23120071,Huynh Tuan Nam,15/08/2005,Nu,22248830
73,23120072,Le Thanh Nam,11/05/2005,Nam,41448706
74,23120073,Mai Nhat Nam,06/09/2005,Nu,65064474
75,23120074,Nguyen Dang Nam,08/08/2005,Nam,15323095
76,23120075,Tran Hoang Phuong Nam,23/01/2005,Nam,11910055
77,23120076,Phan Thi Kim Ngan,20/05/2005,Nu,89042339
78,23120077,Le Chi Nghia,31/07/2005,Nam,48228781
79,23120078,Duong Yen Ngoc,01/08/2005,Nu,28624011
80,23120079,Nguyen Thi Chau Ngoc,27/06/2005,Nam,10382655
81,23120080,Dao Khoa Nguyen,19/01/2005,Nam,76610213
82,23120081,Le Vi Nguyen,27/02/2005,Nu,98655511
83,23120082,Pham Sy Nguyen,28/02/2005,Nam,75144863
84,23120083,Nguyen Thanh Nhan,28/09/2005,Nu,28512690
85,23120084,Nguyen Doan Van Nhi,07/01/2005,Nam,32527726
86,23120085,Pham Thi Quynh Nhu,28/04/2005,Nam,48759345
87,23120086,Le Minh Nhut,02/02/2005,Nu,50852535
88,23120087,Bien Viet Pham,29/01/2005,Nam,34540752
89,23120088,Tran Quang Phat,28/06/2005,Nu,52775763
90,23120089,Tran Hoang Anh Phi,12/06/2005,Nam,26270799
91,23120090,Nguyen Sy Phong,08/03/2005,Nam,22540523
92,23120091,Nguyen Huu Phuc,28/07/2005,Nam,57402227
93,23120092,Hong Nhat Phuong,01/04/2005,Nam,86339232
94,23120093,Nguyen Duong Tuan Phuong,02/05/2005,Nu,85026489
95,23120094,Lam Nhat Quan,11/07/2005,Nam,16328980
96,23120095,Quach Bao Quan,08/07/2005,Nam,90407596
97,23120096,Hoang Dinh Ngoc Quang,24/11/2005,Nu,13084203
98,23120097,Tran Thong Quang,09/09/2005,Nam,94707718
99,23120098,Van Duy Quang,20/11/2005,Nu,73902169
100,23120099,Tran Nguyen Quy,10/01/2005,Nam,53595444
